name,municipality,province,region,code
"Poblacion","Bulalacao","Oriental Mindoro","MIMAROPA","1705204012"
"San Francisco","Bulalacao","Oriental Mindoro","MIMAROPA","1705204013"
"San Isidro","Bulalacao","Oriental Mindoro","MIMAROPA","1705204014"
"San Juan","Bulalacao","Oriental Mindoro","MIMAROPA","1705204015"
"San Roque ","Bulalacao","Oriental Mindoro","MIMAROPA","1705204017"
"Balingayan","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205001"
"Balite","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205002"
"Baruyan","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205003"
"Batino","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205004"
"Bayanan I","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205005"
"Bayanan II","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205006"
"Biga","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205007"
"Bondoc","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205008"
"Bucayao","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205009"
"Buhuan","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205010"
"Bulusan","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205011"
"Calero (Pob.)","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205013"
"Camansihan","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205015"
"Camilmil","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205016"
"Canubing I","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205017"
"Canubing II","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205018"
"Comunal","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205019"
"Guinobatan","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205021"
"Gulod","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205022"
"Gutad","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205023"
"Ibaba East (Pob.)","City of Calapan (Capital)","Oriental Mindoro","MIMAROPA","1705205025"
